country, value, units, quarter, value$
"Korea", "Nominal", "Index, 2010 = 100", "2005-Q1", 79.18
"Korea", "Nominal", "Index, 2010 = 100", "2005-Q2", 80.43
"Korea", "Nominal", "Index, 2010 = 100", "2005-Q3", 81.94
"Korea", "Nominal", "Index, 2010 = 100", "2005-Q4", 82.2
"Korea", "Nominal", "Index, 2010 = 100", "2006-Q1", 83.0
"Korea", "Nominal", "Index, 2010 = 100", "2006-Q2", 84.93
"Korea", "Nominal", "Index, 2010 = 100", "2006-Q3", 85.94
"Korea", "Nominal", "Index, 2010 = 100", "2006-Q4", 89.82
"Korea", "Nominal", "Index, 2010 = 100", "2007-Q1", 92.93
"Korea", "Nominal", "Index, 2010 = 100", "2007-Q2", 93.34
"Korea", "Nominal", "Index, 2010 = 100", "2007-Q3", 93.88
"Korea", "Nominal", "Index, 2010 = 100", "2007-Q4", 94.56
"Korea", "Nominal", "Index, 2010 = 100", "2008-Q1", 95.43
"Korea", "Nominal", "Index, 2010 = 100", "2008-Q2", 97.44
"Korea", "Nominal", "Index, 2010 = 100", "2008-Q3", 98.62
"Korea", "Nominal", "Index, 2010 = 100", "2008-Q4", 98.28
"Korea", "Nominal", "Index, 2010 = 100", "2009-Q1", 96.91
"Korea", "Nominal", "Index, 2010 = 100", "2009-Q2", 96.91
"Korea", "Nominal", "Index, 2010 = 100", "2009-Q3", 97.77
"Korea", "Nominal", "Index, 2010 = 100", "2009-Q4", 98.93
"Korea", "Nominal", "Index, 2010 = 100", "2010-Q1", 99.51
"Korea", "Nominal", "Index, 2010 = 100", "2010-Q2", 99.99
"Korea", "Nominal", "Index, 2010 = 100", "2010-Q3", 99.92
"Korea", "Nominal", "Index, 2010 = 100", "2010-Q4", 100.57
"Korea", "Nominal", "Index, 2010 = 100", "2011-Q1", 102.33
"Korea", "Nominal", "Index, 2010 = 100", "2011-Q2", 104.76
"Korea", "Nominal", "Index, 2010 = 100", "2011-Q3", 106.32
"Korea", "Nominal", "Index, 2010 = 100", "2011-Q4", 107.65
"Korea", "Nominal", "Index, 2010 = 100", "2012-Q1", 108.25
"Korea", "Nominal", "Index, 2010 = 100", "2012-Q2", 108.56
"Korea", "Nominal", "Index, 2010 = 100", "2012-Q3", 108.3
"Korea", "Nominal", "Index, 2010 = 100", "2012-Q4", 107.96
"Korea", "Nominal", "Index, 2010 = 100", "2013-Q1", 107.76
"Korea", "Nominal", "Index, 2010 = 100", "2013-Q2", 107.69
"Korea", "Nominal", "Index, 2010 = 100", "2013-Q3", 107.64
"Korea", "Nominal", "Index, 2010 = 100", "2013-Q4", 108.08
"Korea", "Nominal", "Index, 2010 = 100", "2014-Q1", 108.62
"Korea", "Nominal", "Index, 2010 = 100", "2014-Q2", 109.18
"Korea", "Nominal", "Index, 2010 = 100", "2014-Q3", 109.56
"Korea", "Nominal", "Index, 2010 = 100", "2014-Q4", 110.34
"Korea", "Nominal", "Index, 2010 = 100", "2015-Q1", 111.02
"Korea", "Nominal", "Index, 2010 = 100", "2015-Q2", 112.41
"Korea", "Nominal", "Index, 2010 = 100", "2015-Q3", 113.85
"Korea", "Nominal", "Index, 2010 = 100", "2015-Q4", 115.14
"Korea", "Nominal", "Index, 2010 = 100", "2016-Q1", 115.6
"Korea", "Nominal", "Index, 2010 = 100", "2016-Q2", 115.79
"Korea", "Nominal", "Index, 2010 = 100", "2016-Q3", 116.19
"Korea", "Nominal", "Index, 2010 = 100", "2016-Q4", 116.85
"Korea", "Nominal", "Year-on-year changes, in per cent", "1987-Q1", -3.03
"Korea", "Nominal", "Year-on-year changes, in per cent", "1987-Q2", -1.95
"Korea", "Nominal", "Year-on-year changes, in per cent", "1987-Q3", 0.52
"Korea", "Nominal", "Year-on-year changes, in per cent", "1987-Q4", 6.15
"Korea", "Nominal", "Year-on-year changes, in per cent", "1988-Q1", 11.47
"Korea", "Nominal", "Year-on-year changes, in per cent", "1988-Q2", 17.53
"Korea", "Nominal", "Year-on-year changes, in per cent", "1988-Q3", 19.52
"Korea", "Nominal", "Year-on-year changes, in per cent", "1988-Q4", 13.87
"Korea", "Nominal", "Year-on-year changes, in per cent", "1989-Q1", 13.7
"Korea", "Nominal", "Year-on-year changes, in per cent", "1989-Q2", 16.23
"Korea", "Nominal", "Year-on-year changes, in per cent", "1989-Q3", 12.64
"Korea", "Nominal", "Year-on-year changes, in per cent", "1989-Q4", 13.93
"Korea", "Nominal", "Year-on-year changes, in per cent", "1990-Q1", 15.46
"Korea", "Nominal", "Year-on-year changes, in per cent", "1990-Q2", 14.92
"Korea", "Nominal", "Year-on-year changes, in per cent", "1990-Q3", 17.21
"Korea", "Nominal", "Year-on-year changes, in per cent", "1990-Q4", 20.81
"Korea", "Nominal", "Year-on-year changes, in per cent", "1991-Q1", 17.51
"Korea", "Nominal", "Year-on-year changes, in per cent", "1991-Q2", 13.4
"Korea", "Nominal", "Year-on-year changes, in per cent", "1991-Q3", 9.61
"Korea", "Nominal", "Year-on-year changes, in per cent", "1991-Q4", 1.93
"Korea", "Nominal", "Year-on-year changes, in per cent", "1992-Q1", -3.11
"Korea", "Nominal", "Year-on-year changes, in per cent", "1992-Q2", -8.21
"Korea", "Nominal", "Year-on-year changes, in per cent", "1992-Q3", -8.59
"Korea", "Nominal", "Year-on-year changes, in per cent", "1992-Q4", -6.05
"Korea", "Nominal", "Year-on-year changes, in per cent", "1993-Q1", -4.27
"Korea", "Nominal", "Year-on-year changes, in per cent", "1993-Q2", -3.21
"Korea", "Nominal", "Year-on-year changes, in per cent", "1993-Q3", -2.97
"Korea", "Nominal", "Year-on-year changes, in per cent", "1993-Q4", -3.3
"Korea", "Nominal", "Year-on-year changes, in per cent", "1994-Q1", -2.89
"Korea", "Nominal", "Year-on-year changes, in per cent", "1994-Q2", -2.23
"Korea", "Nominal", "Year-on-year changes, in per cent", "1994-Q3", -0.98
"Korea", "Nominal", "Year-on-year changes, in per cent", "1994-Q4", -0.3
"Korea", "Nominal", "Year-on-year changes, in per cent", "1995-Q1", -0.23
"Korea", "Nominal", "Year-on-year changes, in per cent", "1995-Q2", -0.07
"Korea", "Nominal", "Year-on-year changes, in per cent", "1995-Q3", -0.1
"Korea", "Nominal", "Year-on-year changes, in per cent", "1995-Q4", -0.2
"Korea", "Nominal", "Year-on-year changes, in per cent", "1996-Q1", 0.2
"Korea", "Nominal", "Year-on-year changes, in per cent", "1996-Q2", 0.53
"Korea", "Nominal", "Year-on-year changes, in per cent", "1996-Q3", 0.76
"Korea", "Nominal", "Year-on-year changes, in per cent", "1996-Q4", 1.36
"Korea", "Nominal", "Year-on-year changes, in per cent", "1997-Q1", 2.98
"Korea", "Nominal", "Year-on-year changes, in per cent", "1997-Q2", 3.24
"Korea", "Nominal", "Year-on-year changes, in per cent", "1997-Q3", 3.14
"Korea", "Nominal", "Year-on-year changes, in per cent", "1997-Q4", 2.47
"Korea", "Nominal", "Year-on-year changes, in per cent", "1998-Q1", -2.36
"Korea", "Nominal", "Year-on-year changes, in per cent", "1998-Q2", -9.75
"Korea", "Nominal", "Year-on-year changes, in per cent", "1998-Q3", -11.86
"Korea", "Nominal", "Year-on-year changes, in per cent", "1998-Q4", -12.8
"Korea", "Nominal", "Year-on-year changes, in per cent", "1999-Q1", -8.78
"Korea", "Nominal", "Year-on-year changes, in per cent", "1999-Q2", -1.34
"Korea", "Nominal", "Year-on-year changes, in per cent", "1999-Q3", 2.07
"Korea", "Nominal", "Year-on-year changes, in per cent", "1999-Q4", 3.78
"Korea", "Nominal", "Year-on-year changes, in per cent", "2000-Q1", 2.68
"Korea", "Nominal", "Year-on-year changes, in per cent", "2000-Q2", 2.47
"Korea", "Nominal", "Year-on-year changes, in per cent", "2000-Q3", 1.35
"Korea", "Nominal", "Year-on-year changes, in per cent", "2000-Q4", 0.71
"Korea", "Nominal", "Year-on-year changes, in per cent", "2001-Q1", -0.01
"Korea", "Nominal", "Year-on-year changes, in per cent", "2001-Q2", 1.59
"Korea", "Nominal", "Year-on-year changes, in per cent", "2001-Q3", 5.6
"Korea", "Nominal", "Year-on-year changes, in per cent", "2001-Q4", 8.59
"Korea", "Nominal", "Year-on-year changes, in per cent", "2002-Q1", 15.17
"Korea", "Nominal", "Year-on-year changes, in per cent", "2002-Q2", 17.44
"Korea", "Nominal", "Year-on-year changes, in per cent", "2002-Q3", 16.95
"Korea", "Nominal", "Year-on-year changes, in per cent", "2002-Q4", 17.03
"Korea", "Nominal", "Year-on-year changes, in per cent", "2003-Q1", 11.27
"Korea", "Nominal", "Year-on-year changes, in per cent", "2003-Q2", 10.16
"Korea", "Nominal", "Year-on-year changes, in per cent", "2003-Q3", 8.32
"Korea", "Nominal", "Year-on-year changes, in per cent", "2003-Q4", 6.6
"Korea", "Nominal", "Year-on-year changes, in per cent", "2004-Q1", 5.0
"Korea", "Nominal", "Year-on-year changes, in per cent", "2004-Q2", 2.3
"Korea", "Nominal", "Year-on-year changes, in per cent", "2004-Q3", -0.24
"Korea", "Nominal", "Year-on-year changes, in per cent", "2004-Q4", -2.31
"Korea", "Nominal", "Year-on-year changes, in per cent", "2005-Q1", -1.8
"Korea", "Nominal", "Year-on-year changes, in per cent", "2005-Q2", -0.52
"Korea", "Nominal", "Year-on-year changes, in per cent", "2005-Q3", 2.14
"Korea", "Nominal", "Year-on-year changes, in per cent", "2005-Q4", 3.44
"Korea", "Nominal", "Year-on-year changes, in per cent", "2006-Q1", 4.84
"Korea", "Nominal", "Year-on-year changes, in per cent", "2006-Q2", 5.6
"Korea", "Nominal", "Year-on-year changes, in per cent", "2006-Q3", 4.88
"Korea", "Nominal", "Year-on-year changes, in per cent", "2006-Q4", 9.28
"Korea", "Nominal", "Year-on-year changes, in per cent", "2007-Q1", 11.96
"Korea", "Nominal", "Year-on-year changes, in per cent", "2007-Q2", 9.9
"Korea", "Nominal", "Year-on-year changes, in per cent", "2007-Q3", 9.23
"Korea", "Nominal", "Year-on-year changes, in per cent", "2007-Q4", 5.27
"Korea", "Nominal", "Year-on-year changes, in per cent", "2008-Q1", 2.69
"Korea", "Nominal", "Year-on-year changes, in per cent", "2008-Q2", 4.39
"Korea", "Nominal", "Year-on-year changes, in per cent", "2008-Q3", 5.05
"Korea", "Nominal", "Year-on-year changes, in per cent", "2008-Q4", 3.94
"Korea", "Nominal", "Year-on-year changes, in per cent", "2009-Q1", 1.56
"Korea", "Nominal", "Year-on-year changes, in per cent", "2009-Q2", -0.54
"Korea", "Nominal", "Year-on-year changes, in per cent", "2009-Q3", -0.86
"Korea", "Nominal", "Year-on-year changes, in per cent", "2009-Q4", 0.66
"Korea", "Nominal", "Year-on-year changes, in per cent", "2010-Q1", 2.68
"Korea", "Nominal", "Year-on-year changes, in per cent", "2010-Q2", 3.18
"Korea", "Nominal", "Year-on-year changes, in per cent", "2010-Q3", 2.2
"Korea", "Nominal", "Year-on-year changes, in per cent", "2010-Q4", 1.66
"Korea", "Nominal", "Year-on-year changes, in per cent", "2011-Q1", 2.83
"Korea", "Nominal", "Year-on-year changes, in per cent", "2011-Q2", 4.77
"Korea", "Nominal", "Year-on-year changes, in per cent", "2011-Q3", 6.4
"Korea", "Nominal", "Year-on-year changes, in per cent", "2011-Q4", 7.03
"Korea", "Nominal", "Year-on-year changes, in per cent", "2012-Q1", 5.79
"Korea", "Nominal", "Year-on-year changes, in per cent", "2012-Q2", 3.63
"Korea", "Nominal", "Year-on-year changes, in per cent", "2012-Q3", 1.86
"Korea", "Nominal", "Year-on-year changes, in per cent", "2012-Q4", 0.29
"Korea", "Nominal", "Year-on-year changes, in per cent", "2013-Q1", -0.45
"Korea", "Nominal", "Year-on-year changes, in per cent", "2013-Q2", -0.8
"Korea", "Nominal", "Year-on-year changes, in per cent", "2013-Q3", -0.61
"Korea", "Nominal", "Year-on-year changes, in per cent", "2013-Q4", 0.11
"Korea", "Nominal", "Year-on-year changes, in per cent", "2014-Q1", 0.8
"Korea", "Nominal", "Year-on-year changes, in per cent", "2014-Q2", 1.39
"Korea", "Nominal", "Year-on-year changes, in per cent", "2014-Q3", 1.78
"Korea", "Nominal", "Year-on-year changes, in per cent", "2014-Q4", 2.1
"Korea", "Nominal", "Year-on-year changes, in per cent", "2015-Q1", 2.21
"Korea", "Nominal", "Year-on-year changes, in per cent", "2015-Q2", 2.96
"Korea", "Nominal", "Year-on-year changes, in per cent", "2015-Q3", 3.92
"Korea", "Nominal", "Year-on-year changes, in per cent", "2015-Q4", 4.34
"Korea", "Nominal", "Year-on-year changes, in per cent", "2016-Q1", 4.13
"Korea", "Nominal", "Year-on-year changes, in per cent", "2016-Q2", 3.01
"Korea", "Nominal", "Year-on-year changes, in per cent", "2016-Q3", 2.05
"Korea", "Nominal", "Year-on-year changes, in per cent", "2016-Q4", 1.49
"Korea", "Real", "Index, 2010 = 100", "1986-Q1", 120.98
"Korea", "Real", "Index, 2010 = 100", "1986-Q2", 118.99
"Korea", "Real", "Index, 2010 = 100", "1986-Q3", 117.74
"Korea", "Real", "Index, 2010 = 100", "1986-Q4", 118.02
"Korea", "Real", "Index, 2010 = 100", "1987-Q1", 116.37
"Korea", "Real", "Index, 2010 = 100", "1987-Q2", 113.91
"Korea", "Real", "Index, 2010 = 100", "1987-Q3", 114.37
"Korea", "Real", "Index, 2010 = 100", "1987-Q4", 118.78
"Korea", "Real", "Index, 2010 = 100", "1988-Q1", 120.67
"Korea", "Real", "Index, 2010 = 100", "1988-Q2", 124.88
"Korea", "Real", "Index, 2010 = 100", "1988-Q3", 127.65
"Korea", "Real", "Index, 2010 = 100", "1988-Q4", 126.63
"Korea", "Real", "Index, 2010 = 100", "1989-Q1", 129.94
"Korea", "Real", "Index, 2010 = 100", "1989-Q2", 137.44
"Korea", "Real", "Index, 2010 = 100", "1989-Q3", 136.09
"Korea", "Real", "Index, 2010 = 100", "1989-Q4", 136.17
"Korea", "Real", "Index, 2010 = 100", "1990-Q1", 139.38
"Korea", "Real", "Index, 2010 = 100", "1990-Q2", 145.23
"Korea", "Real", "Index, 2010 = 100", "1990-Q3", 146.36
"Korea", "Real", "Index, 2010 = 100", "1990-Q4", 151.09
"Korea", "Real", "Index, 2010 = 100", "1991-Q1", 149.25
"Korea", "Real", "Index, 2010 = 100", "1991-Q2", 151.28
"Korea", "Real", "Index, 2010 = 100", "1991-Q3", 146.74
"Korea", "Real", "Index, 2010 = 100", "1991-Q4", 140.76
"Korea", "Real", "Index, 2010 = 100", "1992-Q1", 134.96
"Korea", "Real", "Index, 2010 = 100", "1992-Q2", 129.78
"Korea", "Real", "Index, 2010 = 100", "1992-Q3", 126.51
"Korea", "Real", "Index, 2010 = 100", "1992-Q4", 126.26
"Korea", "Real", "Index, 2010 = 100", "1993-Q1", 123.48
"Korea", "Real", "Index, 2010 = 100", "1993-Q2", 119.99
"Korea", "Real", "Index, 2010 = 100", "1993-Q3", 117.53
"Korea", "Real", "Index, 2010 = 100", "1993-Q4", 115.77
"Korea", "Real", "Index, 2010 = 100", "1994-Q1", 112.57
"Korea", "Real", "Index, 2010 = 100", "1994-Q2", 110.84
"Korea", "Real", "Index, 2010 = 100", "1994-Q3", 108.85
"Korea", "Real", "Index, 2010 = 100", "1994-Q4", 109.09
"Korea", "Real", "Index, 2010 = 100", "1995-Q1", 107.21
"Korea", "Real", "Index, 2010 = 100", "1995-Q2", 105.67
"Korea", "Real", "Index, 2010 = 100", "1995-Q3", 104.65
"Korea", "Real", "Index, 2010 = 100", "1995-Q4", 104.24
"Korea", "Real", "Index, 2010 = 100", "1996-Q1", 102.62
"Korea", "Real", "Index, 2010 = 100", "1996-Q2", 101.29
"Korea", "Real", "Index, 2010 = 100", "1996-Q3", 100.37
"Korea", "Real", "Index, 2010 = 100", "1996-Q4", 100.55
"Korea", "Real", "Index, 2010 = 100", "1997-Q1", 100.95
"Korea", "Real", "Index, 2010 = 100", "1997-Q2", 100.51
"Korea", "Real", "Index, 2010 = 100", "1997-Q3", 99.57
"Korea", "Real", "Index, 2010 = 100", "1997-Q4", 98.08
"Korea", "Real", "Index, 2010 = 100", "1998-Q1", 90.49
"Korea", "Real", "Index, 2010 = 100", "1998-Q2", 83.86
"Korea", "Real", "Index, 2010 = 100", "1998-Q3", 82.0
"Korea", "Real", "Index, 2010 = 100", "1998-Q4", 80.7
"Korea", "Real", "Index, 2010 = 100", "1999-Q1", 81.96
"Korea", "Real", "Index, 2010 = 100", "1999-Q2", 82.25
"Korea", "Real", "Index, 2010 = 100", "1999-Q3", 83.15
"Korea", "Real", "Index, 2010 = 100", "1999-Q4", 82.68
"Korea", "Real", "Index, 2010 = 100", "2000-Q1", 82.57
"Korea", "Real", "Index, 2010 = 100", "2000-Q2", 82.96
"Korea", "Real", "Index, 2010 = 100", "2000-Q3", 81.83
"Korea", "Real", "Index, 2010 = 100", "2000-Q4", 81.21
"Korea", "Real", "Index, 2010 = 100", "2001-Q1", 79.62
"Korea", "Real", "Index, 2010 = 100", "2001-Q2", 80.23
"Korea", "Real", "Index, 2010 = 100", "2001-Q3", 82.89
"Korea", "Real", "Index, 2010 = 100", "2001-Q4", 85.37
"Korea", "Real", "Index, 2010 = 100", "2002-Q1", 89.44
"Korea", "Real", "Index, 2010 = 100", "2002-Q2", 91.76
"Korea", "Real", "Index, 2010 = 100", "2002-Q3", 94.57
"Korea", "Real", "Index, 2010 = 100", "2002-Q4", 96.69
"Korea", "Real", "Index, 2010 = 100", "2003-Q1", 95.63
"Korea", "Real", "Index, 2010 = 100", "2003-Q2", 97.85
"Korea", "Real", "Index, 2010 = 100", "2003-Q3", 99.29
"Korea", "Real", "Index, 2010 = 100", "2003-Q4", 99.57
"Korea", "Real", "Index, 2010 = 100", "2004-Q1", 97.25
"Korea", "Real", "Index, 2010 = 100", "2004-Q2", 96.8
"Korea", "Real", "Index, 2010 = 100", "2004-Q3", 94.94
"Korea", "Real", "Index, 2010 = 100", "2004-Q4", 94.1
"Korea", "Real", "Index, 2010 = 100", "2005-Q1", 92.49
"Korea", "Real", "Index, 2010 = 100", "2005-Q2", 93.51
"Korea", "Real", "Index, 2010 = 100", "2005-Q3", 94.77
"Korea", "Real", "Index, 2010 = 100", "2005-Q4", 95.0
"Korea", "Real", "Index, 2010 = 100", "2006-Q1", 94.98
"Korea", "Real", "Index, 2010 = 100", "2006-Q2", 96.58
"Korea", "Real", "Index, 2010 = 100", "2006-Q3", 96.95
"Korea", "Real", "Index, 2010 = 100", "2006-Q4", 101.65
"Korea", "Real", "Index, 2010 = 100", "2007-Q1", 104.25
"Korea", "Real", "Index, 2010 = 100", "2007-Q2", 103.61
"Korea", "Real", "Index, 2010 = 100", "2007-Q3", 103.52
"Korea", "Real", "Index, 2010 = 100", "2007-Q4", 103.51
"Korea", "Real", "Index, 2010 = 100", "2008-Q1", 103.14
"Korea", "Real", "Index, 2010 = 100", "2008-Q2", 103.17
"Korea", "Real", "Index, 2010 = 100", "2008-Q3", 103.03
"Korea", "Real", "Index, 2010 = 100", "2008-Q4", 102.96
"Korea", "Real", "Index, 2010 = 100", "2009-Q1", 100.8
"Korea", "Real", "Index, 2010 = 100", "2009-Q2", 99.84
"Korea", "Real", "Index, 2010 = 100", "2009-Q3", 100.17
"Korea", "Real", "Index, 2010 = 100", "2009-Q4", 101.2
"Korea", "Real", "Index, 2010 = 100", "2010-Q1", 100.5
"Korea", "Real", "Index, 2010 = 100", "2010-Q2", 100.34
"Korea", "Real", "Index, 2010 = 100", "2010-Q3", 99.51
"Korea", "Real", "Index, 2010 = 100", "2010-Q4", 99.66
"Korea", "Real", "Index, 2010 = 100", "2011-Q1", 99.52
"Korea", "Real", "Index, 2010 = 100", "2011-Q2", 101.11
"Korea", "Real", "Index, 2010 = 100", "2011-Q3", 101.5
"Korea", "Real", "Index, 2010 = 100", "2011-Q4", 102.6
"Korea", "Real", "Index, 2010 = 100", "2012-Q1", 102.21
"Korea", "Real", "Index, 2010 = 100", "2012-Q2", 102.29
"Korea", "Real", "Index, 2010 = 100", "2012-Q3", 101.75
"Korea", "Real", "Index, 2010 = 100", "2012-Q4", 101.16
"Korea", "Real", "Index, 2010 = 100", "2013-Q1", 100.18
"Korea", "Real", "Index, 2010 = 100", "2013-Q2", 100.25
"Korea", "Real", "Index, 2010 = 100", "2013-Q3", 99.77
"Korea", "Real", "Index, 2010 = 100", "2013-Q4", 100.2
"Korea", "Real", "Index, 2010 = 100", "2014-Q1", 99.86
"Korea", "Real", "Index, 2010 = 100", "2014-Q2", 100.03
"Korea", "Real", "Index, 2010 = 100", "2014-Q3", 100.16
"Korea", "Real", "Index, 2010 = 100", "2014-Q4", 101.31
"Korea", "Real", "Index, 2010 = 100", "2015-Q1", 101.5
"Korea", "Real", "Index, 2010 = 100", "2015-Q2", 102.44
"Korea", "Real", "Index, 2010 = 100", "2015-Q3", 103.39
"Korea", "Real", "Index, 2010 = 100", "2015-Q4", 104.59
"Korea", "Real", "Index, 2010 = 100", "2016-Q1", 104.61
"Korea", "Real", "Index, 2010 = 100", "2016-Q2", 104.63
"Korea", "Real", "Index, 2010 = 100", "2016-Q3", 104.7
"Korea", "Real", "Index, 2010 = 100", "2016-Q4", 104.71
"Korea", "Real", "Year-on-year changes, in per cent", "1987-Q1", -3.82
"Korea", "Real", "Year-on-year changes, in per cent", "1987-Q2", -4.27
"Korea", "Real", "Year-on-year changes, in per cent", "1987-Q3", -2.87
"Korea", "Real", "Year-on-year changes, in per cent", "1987-Q4", 0.65
"Korea", "Real", "Year-on-year changes, in per cent", "1988-Q1", 3.7
"Korea", "Real", "Year-on-year changes, in per cent", "1988-Q2", 9.63
"Korea", "Real", "Year-on-year changes, in per cent", "1988-Q3", 11.62
"Korea", "Real", "Year-on-year changes, in per cent", "1988-Q4", 6.6
"Korea", "Real", "Year-on-year changes, in per cent", "1989-Q1", 7.68
"Korea", "Real", "Year-on-year changes, in per cent", "1989-Q2", 10.06
"Korea", "Real", "Year-on-year changes, in per cent", "1989-Q3", 6.61
"Korea", "Real", "Year-on-year changes, in per cent", "1989-Q4", 7.53
"Korea", "Real", "Year-on-year changes, in per cent", "1990-Q1", 7.26
"Korea", "Real", "Year-on-year changes, in per cent", "1990-Q2", 5.66
"Korea", "Real", "Year-on-year changes, in per cent", "1990-Q3", 7.54
"Korea", "Real", "Year-on-year changes, in per cent", "1990-Q4", 10.96
"Korea", "Real", "Year-on-year changes, in per cent", "1991-Q1", 7.08
"Korea", "Real", "Year-on-year changes, in per cent", "1991-Q2", 4.17
"Korea", "Real", "Year-on-year changes, in per cent", "1991-Q3", 0.26
"Korea", "Real", "Year-on-year changes, in per cent", "1991-Q4", -6.84
"Korea", "Real", "Year-on-year changes, in per cent", "1992-Q1", -9.58
"Korea", "Real", "Year-on-year changes, in per cent", "1992-Q2", -14.21
"Korea", "Real", "Year-on-year changes, in per cent", "1992-Q3", -13.79
"Korea", "Real", "Year-on-year changes, in per cent", "1992-Q4", -10.3
"Korea", "Real", "Year-on-year changes, in per cent", "1993-Q1", -8.5
"Korea", "Real", "Year-on-year changes, in per cent", "1993-Q2", -7.54
"Korea", "Real", "Year-on-year changes, in per cent", "1993-Q3", -7.1
"Korea", "Real", "Year-on-year changes, in per cent", "1993-Q4", -8.31
"Korea", "Real", "Year-on-year changes, in per cent", "1994-Q1", -8.84
"Korea", "Real", "Year-on-year changes, in per cent", "1994-Q2", -7.63
"Korea", "Real", "Year-on-year changes, in per cent", "1994-Q3", -7.39
"Korea", "Real", "Year-on-year changes, in per cent", "1994-Q4", -5.77
"Korea", "Real", "Year-on-year changes, in per cent", "1995-Q1", -4.76
"Korea", "Real", "Year-on-year changes, in per cent", "1995-Q2", -4.67
"Korea", "Real", "Year-on-year changes, in per cent", "1995-Q3", -3.86
"Korea", "Real", "Year-on-year changes, in per cent", "1995-Q4", -4.45
"Korea", "Real", "Year-on-year changes, in per cent", "1996-Q1", -4.28
"Korea", "Real", "Year-on-year changes, in per cent", "1996-Q2", -4.14
"Korea", "Real", "Year-on-year changes, in per cent", "1996-Q3", -4.09
"Korea", "Real", "Year-on-year changes, in per cent", "1996-Q4", -3.54
"Korea", "Real", "Year-on-year changes, in per cent", "1997-Q1", -1.63
"Korea", "Real", "Year-on-year changes, in per cent", "1997-Q2", -0.77
"Korea", "Real", "Year-on-year changes, in per cent", "1997-Q3", -0.8
"Korea", "Real", "Year-on-year changes, in per cent", "1997-Q4", -2.46
"Korea", "Real", "Year-on-year changes, in per cent", "1998-Q1", -10.36
"Korea", "Real", "Year-on-year changes, in per cent", "1998-Q2", -16.57
"Korea", "Real", "Year-on-year changes, in per cent", "1998-Q3", -17.65
"Korea", "Real", "Year-on-year changes, in per cent", "1998-Q4", -17.72
"Korea", "Real", "Year-on-year changes, in per cent", "1999-Q1", -9.42
"Korea", "Real", "Year-on-year changes, in per cent", "1999-Q2", -1.92
"Korea", "Real", "Year-on-year changes, in per cent", "1999-Q3", 1.41
"Korea", "Real", "Year-on-year changes, in per cent", "1999-Q4", 2.46
"Korea", "Real", "Year-on-year changes, in per cent", "2000-Q1", 0.74
"Korea", "Real", "Year-on-year changes, in per cent", "2000-Q2", 0.87
"Korea", "Real", "Year-on-year changes, in per cent", "2000-Q3", -1.58
"Korea", "Real", "Year-on-year changes, in per cent", "2000-Q4", -1.79
"Korea", "Real", "Year-on-year changes, in per cent", "2001-Q1", -3.57
"Korea", "Real", "Year-on-year changes, in per cent", "2001-Q2", -3.29
"Korea", "Real", "Year-on-year changes, in per cent", "2001-Q3", 1.3
"Korea", "Real", "Year-on-year changes, in per cent", "2001-Q4", 5.12
"Korea", "Real", "Year-on-year changes, in per cent", "2002-Q1", 12.34
"Korea", "Real", "Year-on-year changes, in per cent", "2002-Q2", 14.37
"Korea", "Real", "Year-on-year changes, in per cent", "2002-Q3", 14.08
"Korea", "Real", "Year-on-year changes, in per cent", "2002-Q4", 13.27
"Korea", "Real", "Year-on-year changes, in per cent", "2003-Q1", 6.92
"Korea", "Real", "Year-on-year changes, in per cent", "2003-Q2", 6.63
"Korea", "Real", "Year-on-year changes, in per cent", "2003-Q3", 5.0
"Korea", "Real", "Year-on-year changes, in per cent", "2003-Q4", 2.98
"Korea", "Real", "Year-on-year changes, in per cent", "2004-Q1", 1.69
"Korea", "Real", "Year-on-year changes, in per cent", "2004-Q2", -1.08
"Korea", "Real", "Year-on-year changes, in per cent", "2004-Q3", -4.38
"Korea", "Real", "Year-on-year changes, in per cent", "2004-Q4", -5.49
"Korea", "Real", "Year-on-year changes, in per cent", "2005-Q1", -4.9
"Korea", "Real", "Year-on-year changes, in per cent", "2005-Q2", -3.4
"Korea", "Real", "Year-on-year changes, in per cent", "2005-Q3", -0.19
"Korea", "Real", "Year-on-year changes, in per cent", "2005-Q4", 0.95
"Korea", "Real", "Year-on-year changes, in per cent", "2006-Q1", 2.7
"Korea", "Real", "Year-on-year changes, in per cent", "2006-Q2", 3.29
"Korea", "Real", "Year-on-year changes, in per cent", "2006-Q3", 2.3
"Korea", "Real", "Year-on-year changes, in per cent", "2006-Q4", 7.01
"Korea", "Real", "Year-on-year changes, in per cent", "2007-Q1", 9.76
"Korea", "Real", "Year-on-year changes, in per cent", "2007-Q2", 7.28
"Korea", "Real", "Year-on-year changes, in per cent", "2007-Q3", 6.78
"Korea", "Real", "Year-on-year changes, in per cent", "2007-Q4", 1.83
"Korea", "Real", "Year-on-year changes, in per cent", "2008-Q1", -1.07
"Korea", "Real", "Year-on-year changes, in per cent", "2008-Q2", -0.43
"Korea", "Real", "Year-on-year changes, in per cent", "2008-Q3", -0.47
"Korea", "Real", "Year-on-year changes, in per cent", "2008-Q4", -0.54
"Korea", "Real", "Year-on-year changes, in per cent", "2009-Q1", -2.27
"Korea", "Real", "Year-on-year changes, in per cent", "2009-Q2", -3.22
